author,published_at,text,clean_text,case_fold_text,punctuation_text,normalized_text,tokens,text_stemmed
@Kuacihamsterr,2025-10-01T07:05:56Z,"Emang ni negara korupnya udah jadi kewajiban asli, udah diluar akal sehat!!<br>selagi gada hukuman berat buat para koruptor bakalan ada terus sampe kapanpun, dan rakyat selalu yang jadi korban","Emang ni negara korupnya udah jadi kewajiban asli, udah diluar akal sehat!!selagi gada hukuman berat buat para koruptor bakalan ada terus sampe kapanpun, dan rakyat selalu yang jadi korban","emang ni negara korupnya udah jadi kewajiban asli, udah diluar akal sehat!!selagi gada hukuman berat buat para koruptor bakalan ada terus sampe kapanpun, dan rakyat selalu yang jadi korban",emang ni negara korupnya udah jadi kewajiban asli udah diluar akal sehatselagi gada hukuman berat buat para koruptor bakalan ada terus sampe kapanpun dan rakyat selalu yang jadi korban,memang ini negara korupnya sudah jadi kewajiban asli sudah diluar akal sehatselagi tidak ada hukuman berat buat para koruptor akan ada terus sampai kapanpun dan rakyat selalu yang jadi korban,"['memang', 'ini', 'negara', 'korupnya', 'sudah', 'jadi', 'kewajiban', 'asli', 'sudah', 'diluar', 'akal', 'sehatselagi', 'tidak', 'ada', 'hukuman', 'berat', 'buat', 'para', 'koruptor', 'akan', 'ada', 'terus', 'sampai', 'kapanpun', 'dan', 'rakyat', 'selalu', 'yang', 'jadi', 'korban']","['memang', 'ini', 'negara', 'korup', 'sudah', 'jadi', 'wajib', 'asli', 'sudah', 'luar', 'akal', 'sehatselagi', 'tidak', 'ada', 'hukum', 'berat', 'buat', 'para', 'koruptor', 'akan', 'ada', 'terus', 'sampai', 'kapan', 'dan', 'rakyat', 'selalu', 'yang', 'jadi', 'korban']"
@airlanggautamaadityaputra7402,2025-10-01T06:23:15Z,"Ini proyek aneh dan tidak masuk akal untuk skrng, silahkan diskusi jika ada yg kontra dngn pendapat saya.","Ini proyek aneh dan tidak masuk akal untuk skrng, silahkan diskusi jika ada yg kontra dngn pendapat saya.","ini proyek aneh dan tidak masuk akal untuk skrng, silahkan diskusi jika ada yg kontra dngn pendapat saya.",ini proyek aneh dan tidak masuk akal untuk skrng silahkan diskusi jika ada yg kontra dngn pendapat saya,ini proyek aneh dan tidak masuk akal untuk sekarang silakan diskusi jika ada yang kontra dngn pendapat aku,"['ini', 'proyek', 'aneh', 'dan', 'tidak', 'masuk', 'akal', 'untuk', 'sekarang', 'silakan', 'diskusi', 'jika', 'ada', 'yang', 'kontra', 'dngn', 'pendapat', 'aku']","['ini', 'proyek', 'aneh', 'dan', 'tidak', 'masuk', 'akal', 'untuk', 'sekarang', 'sila', 'diskusi', 'jika', 'ada', 'yang', 'kontra', 'dngn', 'dapat', 'aku']"
@PutraPutri-e2b,2025-10-01T06:22:23Z,Makan bergizi gratis❌️<br>Makan beracun gratis✔️ <br><br>🗿🗿,Makan bergizi gratisMakan beracun gratis ,makan bergizi gratismakan beracun gratis ,makan bergizi gratismakan beracun gratis ,makan bergizi gratismakan beracun gratis,"['makan', 'bergizi', 'gratismakan', 'beracun', 'gratis']","['makan', 'gizi', 'gratismakan', 'racun', 'gratis']"
@satriaalviano-g2s1t,2025-10-01T06:08:00Z,mbg itu b=beracun,mbg itu b=beracun,mbg itu b=beracun,mbg itu bberacun,mbak itu bberacun,"['mbak', 'itu', 'bberacun']","['mbak', 'itu', 'bberacun']"
@turtelepratama6112,2025-10-01T05:56:40Z,Biasanya tiap daerah itu harga pangannya beda&quot; setau gue ada daerah yang d sana bahan makanan sampe gas elpijipun mahal banget karena deket daerah tambang. Bayangin aja 3kg gas lpj itu harganya 35rb dan harga telur sebiji itu 3.500. Gue tau ini karena pernag tugas d daerah itu dulu dan harga kos aja 1.2juta itupun kos&quot;sannya kayak pengedar narkoba anjir mana gak ada fasilitas tambahan apapun. Terus makan nasi bungkus aja 15rb dapet 1 lauk sama 1 sayur,Biasanya tiap daerah itu harga pangannya beda setau gue ada daerah yang d sana bahan makanan sampe gas elpijipun mahal banget karena deket daerah tambang. Bayangin aja kg gas lpj itu harganya rb dan harga telur sebiji itu .. Gue tau ini karena pernag tugas d daerah itu dulu dan harga kos aja .juta itupun kossannya kayak pengedar narkoba anjir mana gak ada fasilitas tambahan apapun. Terus makan nasi bungkus aja rb dapet  lauk sama  sayur,biasanya tiap daerah itu harga pangannya beda setau gue ada daerah yang d sana bahan makanan sampe gas elpijipun mahal banget karena deket daerah tambang. bayangin aja kg gas lpj itu harganya rb dan harga telur sebiji itu .. gue tau ini karena pernag tugas d daerah itu dulu dan harga kos aja .juta itupun kossannya kayak pengedar narkoba anjir mana gak ada fasilitas tambahan apapun. terus makan nasi bungkus aja rb dapet  lauk sama  sayur,biasanya tiap daerah itu harga pangannya beda setau gue ada daerah yang d sana bahan makanan sampe gas elpijipun mahal banget karena deket daerah tambang bayangin aja kg gas lpj itu harganya rb dan harga telur sebiji itu  gue tau ini karena pernag tugas d daerah itu dulu dan harga kos aja juta itupun kossannya kayak pengedar narkoba anjir mana gak ada fasilitas tambahan apapun terus makan nasi bungkus aja rb dapet  lauk sama  sayur,biasanya tiap daerah itu harga pangannya beda setau aku ada daerah yang di sana bahan makanan sampai gas elpijipun mahal sekali karena dekat daerah tambang bayangkan saja tidak gas lpj itu harganya ribu dan harga telur sebiji itu aku tau ini karena pernag tugas di daerah itu dulu dan harga kos saja juta itupun kossannya seperti pengedar narkoba anjing mana tidak ada fasilitas tambahan apapun terus makan nasi bungkus saja ribu dapat lauk sama sayur,"['biasanya', 'tiap', 'daerah', 'itu', 'harga', 'pangannya', 'beda', 'setau', 'aku', 'ada', 'daerah', 'yang', 'di', 'sana', 'bahan', 'makanan', 'sampai', 'gas', 'elpijipun', 'mahal', 'sekali', 'karena', 'dekat', 'daerah', 'tambang', 'bayangkan', 'saja', 'tidak', 'gas', 'lpj', 'itu', 'harganya', 'ribu', 'dan', 'harga', 'telur', 'sebiji', 'itu', 'aku', 'tau', 'ini', 'karena', 'pernag', 'tugas', 'di', 'daerah', 'itu', 'dulu', 'dan', 'harga', 'kos', 'saja', 'juta', 'itupun', 'kossannya', 'seperti', 'pengedar', 'narkoba', 'anjing', 'mana', 'tidak', 'ada', 'fasilitas', 'tambahan', 'apapun', 'terus', 'makan', 'nasi', 'bungkus', 'saja', 'ribu', 'dapat', 'lauk', 'sama', 'sayur']","['biasa', 'tiap', 'daerah', 'itu', 'harga', 'pangan', 'beda', 'tau', 'aku', 'ada', 'daerah', 'yang', 'di', 'sana', 'bahan', 'makan', 'sampai', 'gas', 'elpiji', 'mahal', 'sekali', 'karena', 'dekat', 'daerah', 'tambang', 'bayang', 'saja', 'tidak', 'gas', 'lpj', 'itu', 'harga', 'ribu', 'dan', 'harga', 'telur', 'biji', 'itu', 'aku', 'tau', 'ini', 'karena', 'pernag', 'tugas', 'di', 'daerah', 'itu', 'dulu', 'dan', 'harga', 'kos', 'saja', 'juta', 'itu', 'kossannya', 'seperti', 'edar', 'narkoba', 'anjing', 'mana', 'tidak', 'ada', 'fasilitas', 'tambah', 'apa', 'terus', 'makan', 'nasi', 'bungkus', 'saja', 'ribu', 'dapat', 'lauk', 'sama', 'sayur']"
@uiia_banana,2025-10-01T05:33:29Z,Kepanjangan dari MBG <br><br>M . Makana <br>B . Beracun <br>G. Gratis,Kepanjangan dari MBG M . Makana B . Beracun G. Gratis,kepanjangan dari mbg m . makana b . beracun g. gratis,kepanjangan dari mbg m  makana b  beracun g gratis,kepanjangan dari mbak sama makana b beracun tidak gratis,"['kepanjangan', 'dari', 'mbak', 'sama', 'makana', 'b', 'beracun', 'tidak', 'gratis']","['panjang', 'dari', 'mbak', 'sama', 'makana', 'b', 'racun', 'tidak', 'gratis']"
@RiwansaWan,2025-10-01T04:17:39Z,semakin kesini makin ga guna😂,semakin kesini makin ga guna,semakin kesini makin ga guna,semakin kesini makin ga guna,semakin kesini makin tidak guna,"['semakin', 'kesini', 'makin', 'tidak', 'guna']","['makin', 'kesini', 'makin', 'tidak', 'guna']"
@Dayahradit-7ti,2025-10-01T00:48:52Z,Salfok sama hiu ❌<br>Salfok sama gambar mi ✔️,Salfok sama hiu Salfok sama gambar mi ,salfok sama hiu salfok sama gambar mi ,salfok sama hiu salfok sama gambar mi ,salah fokus sama hiu salah fokus sama gambar mi,"['salah', 'fokus', 'sama', 'hiu', 'salah', 'fokus', 'sama', 'gambar', 'mi']","['salah', 'fokus', 'sama', 'hiu', 'salah', 'fokus', 'sama', 'gambar', 'mi']"
@R.Zay2.0,2025-10-01T00:18:21Z,"Kalo gk ada oknum ini program berhasil, harusnya diusut dulu oknumnya","Kalo gk ada oknum ini program berhasil, harusnya diusut dulu oknumnya","kalo gk ada oknum ini program berhasil, harusnya diusut dulu oknumnya",kalo gk ada oknum ini program berhasil harusnya diusut dulu oknumnya,kalau tidak ada oknum ini program berhasil harusnya diusut dulu oknumnya,"['kalau', 'tidak', 'ada', 'oknum', 'ini', 'program', 'berhasil', 'harusnya', 'diusut', 'dulu', 'oknumnya']","['kalau', 'tidak', 'ada', 'oknum', 'ini', 'program', 'hasil', 'harus', 'usut', 'dulu', 'oknum']"
@kitsuuunee,2025-09-30T23:50:58Z,"Udahlah, kalo programnya mau dilanjut terus, mending ganti jadi makan siang gratis, ga perlu ada embel2 bergizi tai kucing, bukan bergizi malah beracun, kasih makan apa aja yang enak, yang pasti dimakan, manusia purba sok ngomong anak jaman sekarang makannya pilih pilih😂, makanya dikasih MBG gamau, kek mereka mau aja njir dikasih makan begituan","Udahlah, kalo programnya mau dilanjut terus, mending ganti jadi makan siang gratis, ga perlu ada embel bergizi tai kucing, bukan bergizi malah beracun, kasih makan apa aja yang enak, yang pasti dimakan, manusia purba sok ngomong anak jaman sekarang makannya pilih pilih, makanya dikasih MBG gamau, kek mereka mau aja njir dikasih makan begituan","udahlah, kalo programnya mau dilanjut terus, mending ganti jadi makan siang gratis, ga perlu ada embel bergizi tai kucing, bukan bergizi malah beracun, kasih makan apa aja yang enak, yang pasti dimakan, manusia purba sok ngomong anak jaman sekarang makannya pilih pilih, makanya dikasih mbg gamau, kek mereka mau aja njir dikasih makan begituan",udahlah kalo programnya mau dilanjut terus mending ganti jadi makan siang gratis ga perlu ada embel bergizi tai kucing bukan bergizi malah beracun kasih makan apa aja yang enak yang pasti dimakan manusia purba sok ngomong anak jaman sekarang makannya pilih pilih makanya dikasih mbg gamau kek mereka mau aja njir dikasih makan begituan,sudah kalau programnya mau dilanjut terus mending ganti jadi makan siang gratis tidak perlu ada embel bergizi tahi kucing bukan bergizi malah beracun kasih makan apa saja yang enak yang pasti dimakan manusia purba sok mengomong anak zaman sekarang makannya pilih pilih makanya dikasih mbak tidak mau seperti mereka mau saja anjing dikasih makan begituan,"['sudah', 'kalau', 'programnya', 'mau', 'dilanjut', 'terus', 'mending', 'ganti', 'jadi', 'makan', 'siang', 'gratis', 'tidak', 'perlu', 'ada', 'embel', 'bergizi', 'tahi', 'kucing', 'bukan', 'bergizi', 'malah', 'beracun', 'kasih', 'makan', 'apa', 'saja', 'yang', 'enak', 'yang', 'pasti', 'dimakan', 'manusia', 'purba', 'sok', 'mengomong', 'anak', 'zaman', 'sekarang', 'makannya', 'pilih', 'pilih', 'makanya', 'dikasih', 'mbak', 'tidak', 'mau', 'seperti', 'mereka', 'mau', 'saja', 'anjing', 'dikasih', 'makan', 'begituan']","['sudah', 'kalau', 'program', 'mau', 'lanjut', 'terus', 'mending', 'ganti', 'jadi', 'makan', 'siang', 'gratis', 'tidak', 'perlu', 'ada', 'embel', 'gizi', 'tahi', 'kucing', 'bukan', 'gizi', 'malah', 'racun', 'kasih', 'makan', 'apa', 'saja', 'yang', 'enak', 'yang', 'pasti', 'makan', 'manusia', 'purba', 'sok', 'omong', 'anak', 'zaman', 'sekarang', 'makan', 'pilih', 'pilih', 'makanya', 'kasih', 'mbak', 'tidak', 'mau', 'seperti', 'mereka', 'mau', 'saja', 'anjing', 'kasih', 'makan', 'begitu']"
@c28raditoyudhistira64,2025-09-30T23:24:27Z,"di sini, ketemu 1 yg basi, gajadi dianter ke sekolah sekolah. kemaren di sekolah gua mbg nya gajadi dianter gara2 ada yg basi","di sini, ketemu  yg basi, gajadi dianter ke sekolah sekolah. kemaren di sekolah gua mbg nya gajadi dianter gara ada yg basi","di sini, ketemu  yg basi, gajadi dianter ke sekolah sekolah. kemaren di sekolah gua mbg nya gajadi dianter gara ada yg basi",di sini ketemu  yg basi gajadi dianter ke sekolah sekolah kemaren di sekolah gua mbg nya gajadi dianter gara ada yg basi,di sini ketemu yang basi gajadi diantar ke sekolah sekolah kemarin di sekolah aku mbak ya gajadi diantar gara ada yang basi,"['di', 'sini', 'ketemu', 'yang', 'basi', 'gajadi', 'diantar', 'ke', 'sekolah', 'sekolah', 'kemarin', 'di', 'sekolah', 'aku', 'mbak', 'ya', 'gajadi', 'diantar', 'gara', 'ada', 'yang', 'basi']","['di', 'sini', 'ketemu', 'yang', 'basi', 'gajadi', 'antar', 'ke', 'sekolah', 'sekolah', 'kemarin', 'di', 'sekolah', 'aku', 'mbak', 'ya', 'gajadi', 'antar', 'gara', 'ada', 'yang', 'basi']"
@derilnandas4405,2025-09-30T23:19:12Z,Jalur korupsi dari pemerintah sesungguhnya 😂,Jalur korupsi dari pemerintah sesungguhnya ,jalur korupsi dari pemerintah sesungguhnya ,jalur korupsi dari pemerintah sesungguhnya ,jalur korupsi dari pemerintah sesungguhnya,"['jalur', 'korupsi', 'dari', 'pemerintah', 'sesungguhnya']","['jalur', 'korupsi', 'dari', 'perintah', 'sungguh']"
@abduljamil660,2025-09-30T22:18:30Z,"Kalau anak orang mampu gk usah mbg , makanan di rumah lebih enak , memberi anak orang mampu seperti menggarami laut , buang buang uang","Kalau anak orang mampu gk usah mbg , makanan di rumah lebih enak , memberi anak orang mampu seperti menggarami laut , buang buang uang","kalau anak orang mampu gk usah mbg , makanan di rumah lebih enak , memberi anak orang mampu seperti menggarami laut , buang buang uang",kalau anak orang mampu gk usah mbg  makanan di rumah lebih enak  memberi anak orang mampu seperti menggarami laut  buang buang uang,kalau anak orang mampu tidak usah mbak makanan di rumah lebih enak memberi anak orang mampu seperti menggarami laut buang buang uang,"['kalau', 'anak', 'orang', 'mampu', 'tidak', 'usah', 'mbak', 'makanan', 'di', 'rumah', 'lebih', 'enak', 'memberi', 'anak', 'orang', 'mampu', 'seperti', 'menggarami', 'laut', 'buang', 'buang', 'uang']","['kalau', 'anak', 'orang', 'mampu', 'tidak', 'usah', 'mbak', 'makan', 'di', 'rumah', 'lebih', 'enak', 'beri', 'anak', 'orang', 'mampu', 'seperti', 'garam', 'laut', 'buang', 'buang', 'uang']"
@adityaifai6564,2025-09-30T22:11:27Z,itu semangka apa kertas gambar semangka yg digunting wkwkwkw,itu semangka apa kertas gambar semangka yg digunting wkwkwkw,itu semangka apa kertas gambar semangka yg digunting wkwkwkw,itu semangka apa kertas gambar semangka yg digunting wkwkwkw,itu semangka apa kertas gambar semangka yang digunting wkwkwkw,"['itu', 'semangka', 'apa', 'kertas', 'gambar', 'semangka', 'yang', 'digunting', 'wkwkwkw']","['itu', 'semangka', 'apa', 'kertas', 'gambar', 'semangka', 'yang', 'gunting', 'wkwkwkw']"
@jefryjef7975,2025-09-30T21:45:43Z,MBG=makanan buat gelangdangan,MBG=makanan buat gelangdangan,mbg=makanan buat gelangdangan,mbgmakanan buat gelangdangan,mbgmakanan buat gelangdangan,"['mbgmakanan', 'buat', 'gelangdangan']","['mbgmakanan', 'buat', 'gelangdangan']"
@Omjanued,2025-09-30T20:16:44Z,Intinya korupsi,Intinya korupsi,intinya korupsi,intinya korupsi,intinya korupsi,"['intinya', 'korupsi']","['inti', 'korupsi']"
@papskyryanart3957,2025-09-30T18:04:56Z,Pasti duit nya yg di kasih banyak yg di pangkas,Pasti duit nya yg di kasih banyak yg di pangkas,pasti duit nya yg di kasih banyak yg di pangkas,pasti duit nya yg di kasih banyak yg di pangkas,pasti uang ya yang di kasih banyak yang di pangkas,"['pasti', 'uang', 'ya', 'yang', 'di', 'kasih', 'banyak', 'yang', 'di', 'pangkas']","['pasti', 'uang', 'ya', 'yang', 'di', 'kasih', 'banyak', 'yang', 'di', 'pangkas']"
@mochi_friends_official,2025-09-30T14:35:31Z,"Sebelumnya aku sebagai anak swasta agak iri gak dapat makan gratis, tapi abis liat kasus ini bersyukur dong 🗿✋","Sebelumnya aku sebagai anak swasta agak iri gak dapat makan gratis, tapi abis liat kasus ini bersyukur dong ","sebelumnya aku sebagai anak swasta agak iri gak dapat makan gratis, tapi abis liat kasus ini bersyukur dong ",sebelumnya aku sebagai anak swasta agak iri gak dapat makan gratis tapi abis liat kasus ini bersyukur dong ,sebelumnya aku sebagai anak swasta agak iri tidak dapat makan gratis tapi habis lihat kasus ini bersyukur dong,"['sebelumnya', 'aku', 'sebagai', 'anak', 'swasta', 'agak', 'iri', 'tidak', 'dapat', 'makan', 'gratis', 'tapi', 'habis', 'lihat', 'kasus', 'ini', 'bersyukur', 'dong']","['belum', 'aku', 'bagai', 'anak', 'swasta', 'agak', 'iri', 'tidak', 'dapat', 'makan', 'gratis', 'tapi', 'habis', 'lihat', 'kasus', 'ini', 'syukur', 'dong']"
@hiatus18,2025-09-30T14:24:18Z,"Dari pada makan kek gini,mendingan beli Gacoan ,walaupun sakit perut bentar😌","Dari pada makan kek gini,mendingan beli Gacoan ,walaupun sakit perut bentar","dari pada makan kek gini,mendingan beli gacoan ,walaupun sakit perut bentar",dari pada makan kek ginimendingan beli gacoan walaupun sakit perut bentar,dari pada makan seperti ginimendingan beli gacoan walaupun sakit perut bentar,"['dari', 'pada', 'makan', 'seperti', 'ginimendingan', 'beli', 'gacoan', 'walaupun', 'sakit', 'perut', 'bentar']","['dari', 'pada', 'makan', 'seperti', 'ginimendingan', 'beli', 'gaco', 'walaupun', 'sakit', 'perut', 'bentar']"
@Kyy-EDIT-YT,2025-09-30T14:22:24Z,Dikira kita kanibal apa Di sekolahlah ku juga ada sihh😅,Dikira kita kanibal apa Di sekolahlah ku juga ada sihh,dikira kita kanibal apa di sekolahlah ku juga ada sihh,dikira kita kanibal apa di sekolahlah ku juga ada sihh,dikira kita kanibal apa di sekolahlah ku juga ada sih,"['dikira', 'kita', 'kanibal', 'apa', 'di', 'sekolahlah', 'ku', 'juga', 'ada', 'sih']","['kira', 'kita', 'kanibal', 'apa', 'di', 'sekolah', 'ku', 'juga', 'ada', 'sih']"
@EmiliaDada,2025-09-30T14:13:09Z,Di kami bang bagus pelayananya  diperhatikan,Di kami bang bagus pelayananya  diperhatikan,di kami bang bagus pelayananya  diperhatikan,di kami bang bagus pelayananya  diperhatikan,di kami kakak bagus pelayananya diperhatikan,"['di', 'kami', 'kakak', 'bagus', 'pelayananya', 'diperhatikan']","['di', 'kami', 'kakak', 'bagus', 'pelayananya', 'perhati']"
@HamidahNdah,2025-09-30T13:57:46Z,Gue juga makan sekolah geratis,Gue juga makan sekolah geratis,gue juga makan sekolah geratis,gue juga makan sekolah geratis,aku juga makan sekolah geratis,"['aku', 'juga', 'makan', 'sekolah', 'geratis']","['aku', 'juga', 'makan', 'sekolah', 'gerat']"
@R-V-E-b6c,2025-09-30T12:56:40Z,Ikan lele✖️<br>Ikan hiu✔️<br>Bisa gitu anjir walaupun memang orang sana udah biasa makan hiu<br>Tapi ya ini kasih makanan anak² <br>Bergizi kan emang anak² anaknya glutonny anjir yang gatau glutonny apa itu dari game ya 👍🏽👍🏽🗿,Ikan leleIkan hiuBisa gitu anjir walaupun memang orang sana udah biasa makan hiuTapi ya ini kasih makanan anak² Bergizi kan emang anak² anaknya glutonny anjir yang gatau glutonny apa itu dari game ya ,ikan leleikan hiubisa gitu anjir walaupun memang orang sana udah biasa makan hiutapi ya ini kasih makanan anak² bergizi kan emang anak² anaknya glutonny anjir yang gatau glutonny apa itu dari game ya ,ikan leleikan hiubisa gitu anjir walaupun memang orang sana udah biasa makan hiutapi ya ini kasih makanan anak² bergizi kan emang anak² anaknya glutonny anjir yang gatau glutonny apa itu dari game ya ,ikan leleikan hiubisa begitu anjing walaupun memang orang sana sudah biasa makan hiutapi ya ini kasih makanan anak² bergizi kan memang anak² anaknya glutonny anjing yang tidak tahu glutonny apa itu dari game ya,"['ikan', 'leleikan', 'hiubisa', 'begitu', 'anjing', 'walaupun', 'memang', 'orang', 'sana', 'sudah', 'biasa', 'makan', 'hiutapi', 'ya', 'ini', 'kasih', 'makanan', 'anak²', 'bergizi', 'kan', 'memang', 'anak²', 'anaknya', 'glutonny', 'anjing', 'yang', 'tidak', 'tahu', 'glutonny', 'apa', 'itu', 'dari', 'game', 'ya']","['ikan', 'lei', 'hiubisa', 'begitu', 'anjing', 'walaupun', 'memang', 'orang', 'sana', 'sudah', 'biasa', 'makan', 'hiutapi', 'ya', 'ini', 'kasih', 'makan', 'anak', 'gizi', 'kan', 'memang', 'anak', 'anak', 'glutonny', 'anjing', 'yang', 'tidak', 'tahu', 'glutonny', 'apa', 'itu', 'dari', 'game', 'ya']"
@SobatNangka,2025-09-30T12:56:01Z,Ngakak bet cik semangkanya kerempeng g tuh 😂,Ngakak bet cik semangkanya kerempeng g tuh ,ngakak bet cik semangkanya kerempeng g tuh ,ngakak bet cik semangkanya kerempeng g tuh ,mengakak sekali cik semangkanya kerempeng tidak itu,"['mengakak', 'sekali', 'cik', 'semangkanya', 'kerempeng', 'tidak', 'itu']","['akak', 'sekali', 'cik', 'semangka', 'kerempeng', 'tidak', 'itu']"
@BagasEditz16,2025-09-30T11:59:28Z,Dahlah ni negara majunya pas di zaman era presiden 3 doang 🗿,Dahlah ni negara majunya pas di zaman era presiden  doang ,dahlah ni negara majunya pas di zaman era presiden  doang ,dahlah ni negara majunya pas di zaman era presiden  doang ,dahlah ini negara majunya pas di zaman era presiden doang,"['dahlah', 'ini', 'negara', 'majunya', 'pas', 'di', 'zaman', 'era', 'presiden', 'doang']","['dah', 'ini', 'negara', 'maju', 'pas', 'di', 'zaman', 'era', 'presiden', 'doang']"
@ztpride2315,2025-09-30T11:48:35Z,"Untungg ,guaaa udh Gak ngerasain program mbh Gini ,Kebayang kalau gua keracunan 😊😁","Untungg ,guaaa udh Gak ngerasain program mbh Gini ,Kebayang kalau gua keracunan ","untungg ,guaaa udh gak ngerasain program mbh gini ,kebayang kalau gua keracunan ",untungg guaaa udh gak ngerasain program mbh gini kebayang kalau gua keracunan ,untungg guaaa sudah tidak merasai program mbh begini terbayang kalau aku keracunan,"['untungg', 'guaaa', 'sudah', 'tidak', 'merasai', 'program', 'mbh', 'begini', 'terbayang', 'kalau', 'aku', 'keracunan']","['untungg', 'guaaa', 'sudah', 'tidak', 'rasai', 'program', 'mbh', 'begini', 'bayang', 'kalau', 'aku', 'racun']"
@ztpride2315,2025-09-30T11:46:11Z,Apa kabrr Yg keracunan Gtu ???,Apa kabrr Yg keracunan Gtu ???,apa kabrr yg keracunan gtu ???,apa kabrr yg keracunan gtu ,apa kabrr yang keracunan gitu,"['apa', 'kabrr', 'yang', 'keracunan', 'gitu']","['apa', 'kabrr', 'yang', 'racun', 'gitu']"
@RaffasyaA.S,2025-09-30T11:38:59Z,Itu sih aku aku muntah muntah sama pusing😢,Itu sih aku aku muntah muntah sama pusing,itu sih aku aku muntah muntah sama pusing,itu sih aku aku muntah muntah sama pusing,itu sih aku aku muntah muntah sama pusing,"['itu', 'sih', 'aku', 'aku', 'muntah', 'muntah', 'sama', 'pusing']","['itu', 'sih', 'aku', 'aku', 'muntah', 'muntah', 'sama', 'pusing']"
@4rd4c1huy,2025-09-30T11:37:50Z,Hari ini juga temenku ada cacing di seladanya untung gk kemakan,Hari ini juga temenku ada cacing di seladanya untung gk kemakan,hari ini juga temenku ada cacing di seladanya untung gk kemakan,hari ini juga temenku ada cacing di seladanya untung gk kemakan,hari ini juga temenku ada cacing di seladanya untung tidak termakan,"['hari', 'ini', 'juga', 'temenku', 'ada', 'cacing', 'di', 'seladanya', 'untung', 'tidak', 'termakan']","['hari', 'ini', 'juga', 'temenku', 'ada', 'cacing', 'di', 'selada', 'untung', 'tidak', 'makan']"
@kia_gacha_Indonesia,2025-09-30T11:12:36Z,Ah mending bikin sendiri lebih.,Ah mending bikin sendiri lebih.,ah mending bikin sendiri lebih.,ah mending bikin sendiri lebih,ah mending bikin sendiri lebih,"['ah', 'mending', 'bikin', 'sendiri', 'lebih']","['ah', 'mending', 'bikin', 'sendiri', 'lebih']"
@cielch7446,2025-09-30T11:08:29Z,"tmen gw ada yg kerja di sana, kebanyakan memang jadi ladang korupsi","tmen gw ada yg kerja di sana, kebanyakan memang jadi ladang korupsi","tmen gw ada yg kerja di sana, kebanyakan memang jadi ladang korupsi",tmen gw ada yg kerja di sana kebanyakan memang jadi ladang korupsi,teman aku ada yang kerja di sana kebanyakan memang jadi ladang korupsi,"['teman', 'aku', 'ada', 'yang', 'kerja', 'di', 'sana', 'kebanyakan', 'memang', 'jadi', 'ladang', 'korupsi']","['teman', 'aku', 'ada', 'yang', 'kerja', 'di', 'sana', 'banyak', 'memang', 'jadi', 'ladang', 'korupsi']"
@tsukihikari4293,2025-09-30T10:21:36Z,MBG EEEEEEW MBG EEEEEEEEEEW MB EEEEEEEEEW ueeekhhhhh blllusurrhrgghrrghg🤮🤮🤮,MBG EEEEEEW MBG EEEEEEEEEEW MB EEEEEEEEEW ueeekhhhhh blllusurrhrgghrrghg,mbg eeeeeew mbg eeeeeeeeeew mb eeeeeeeeew ueeekhhhhh blllusurrhrgghrrghg,mbg eeeeeew mbg eeeeeeeeeew mb eeeeeeeeew ueeekhhhhh blllusurrhrgghrrghg,mbak eeeeeew mbak eeeeeeeeeew mbak eeeeeeeeew ueeekhhhhh blllusurrhrgghrrghg,"['mbak', 'eeeeeew', 'mbak', 'eeeeeeeeeew', 'mbak', 'eeeeeeeeew', 'ueeekhhhhh', 'blllusurrhrgghrrghg']","['mbak', 'eeeeeew', 'mbak', 'eeeeeeeeeew', 'mbak', 'eeeeeeeeew', 'ueeekhhhhh', 'blllusurrhrgghrrghg']"
@AkulBanyu,2025-09-30T10:05:07Z,Kami dari pulau Kalimantan,Kami dari pulau Kalimantan,kami dari pulau kalimantan,kami dari pulau kalimantan,kami dari pulau kalimantan,"['kami', 'dari', 'pulau', 'kalimantan']","['kami', 'dari', 'pulau', 'kalimantan']"
@dalfioffcialafc-77,2025-09-30T09:59:12Z,Karanglayung nggak ada mbg,Karanglayung nggak ada mbg,karanglayung nggak ada mbg,karanglayung nggak ada mbg,karanglayung tidak ada mbak,"['karanglayung', 'tidak', 'ada', 'mbak']","['karanglayung', 'tidak', 'ada', 'mbak']"
@Rayy_Aja12,2025-09-30T09:53:47Z,Lah itu ikan hiu di gw chicken katsu tapi rasanya kek ikan,Lah itu ikan hiu di gw chicken katsu tapi rasanya kek ikan,lah itu ikan hiu di gw chicken katsu tapi rasanya kek ikan,lah itu ikan hiu di gw chicken katsu tapi rasanya kek ikan,lah itu ikan hiu di aku chicken katsu tapi rasanya seperti ikan,"['lah', 'itu', 'ikan', 'hiu', 'di', 'aku', 'chicken', 'katsu', 'tapi', 'rasanya', 'seperti', 'ikan']","['lah', 'itu', 'ikan', 'hiu', 'di', 'aku', 'chicken', 'katsu', 'tapi', 'rasa', 'seperti', 'ikan']"
