author,published_at,text
@Asaddvxv,2025-10-04T21:35:03Z,"Alhamdulillah gw kerja di MBG dan selama ini kualitas bahan makanan nya yang paling super, kebeneran gw divisi prepare jadi kalopun ada yang jelek itu wajib dibuang. SOP juga harus diperhatikan kaya masker, penutup kepala dan sarung tangan, apron juga harus di cuci tiap hari dan dikasih baju kerja sebanyak 3. Terus kemarin baru SLHS , jadi makin nambah ilmu tentang pengolahan makanan. Selama masih banyak orang baik dan bertanggungjawab, pasti bakal aman kok. Dan semoga program ini ga berhenti di waktu mendekat, plis banget gw gamau nganggur garagara banyak kasus MBG , terlepas dari politik ataupun kelalaian, semoga kedepannya lebih diperhatikan dalam segala bidang ."
@Black12sprunki,2025-10-04T16:09:00Z,Sekola gw program mbg nya ga sampe segitu tuh🤭
@Ptboy12,2025-10-04T13:42:46Z,Korupsi lah mana maen Indonesia ni senggol donk😂
@Astro-m9v,2025-10-04T13:34:45Z,udh pasti yang beberapa itu masuk ke kantong pribadi
@GamingSpirit100,2025-10-04T13:23:18Z,Enak gaknya tergantung yang masak
@bayhanz,2025-10-04T13:07:32Z,itu semangka apaan anjir tipis bat😭
@yuka__18-f1y,2025-10-04T12:57:59Z,Di sekolah aku dapat MBG tapi ada beberapa orang yang pingsan loh 😢😭😭😭
@arifinMuhamadhakam,2025-10-04T12:23:26Z,Inimah namanya bukan makan bergizi gratis tapi makan beracun gratis 🗿🗿
@renalmasters,2025-10-04T11:51:06Z,Sppg cuma ngikut perintah kepala dapur
@muhammadtegarprasetya7309,2025-10-04T11:50:43Z,"Intinya gini bro, setiap ada program pasti bakalan ada cela buat di korupsi"
@welcome_toVionacool11,2025-10-04T10:51:57Z,salfok sama gambar Mi🗿
@Siapaduldong,2025-10-04T10:43:25Z,MBG artinya makan beracun gratis anj***
@bocah_random133,2025-10-04T08:52:03Z,Aku pernah pas di sekolah temen ku ambil mbg terus tiba-tiba ada ulat putih😱😰
@ZERO-xf2no,2025-10-04T08:17:11Z,mkn racun bergizi 😂😂😂😂😂
@bang_loren,2025-10-04T07:59:34Z,"tae ngakak, makan beracun gratis"
@bangalex27,2025-10-04T07:58:11Z,Biasa nya guru beli banyak tapi mereka bawa pulang sih bang
@AchmadPrijatno,2025-10-04T07:44:10Z,di sini sppg yang aman (05 pagi)
@XavierYuNevada,2025-10-04T07:19:16Z,Harusnya mrg makan racun gratis
@ellysabethastutik1611,2025-10-04T07:06:12Z,Kayak nya dpr mau Indonesia jadi cemas
@Zonkos11,2025-10-04T07:01:32Z,"Itu duit emak dan bapaknya yang di rampok paksa lewat pajak,<br>Jadi ga usah di bilang GRATIS."
@syahdiakbar5147,2025-10-04T05:44:50Z,"FYI, betul kata bang issei tidak semuanya, soalnya emak gw guru di sekolah dasar tapi agak pelosok dikit, menunya dikasih pasta bolognese njir wkwkwk, akhirnya kebanyakan gak kemakan karenaa anak2 sana biasa makan sederhana tempe tahu"
@LegionGaming27,2025-10-04T05:39:36Z,Gw di kasih juga ogaah.. masih sayang nyawa
@QABPO-MCOM-YoannesKurniaSandy,2025-10-04T04:33:18Z,gw sekolah nya ada belatung  mbg sama dengan makan belatung gratis sekolah sd santo aloysius pas itu gw makan burger kejunya ada belatung jirr cek ae dah sekolahnya
@Geto72,2025-10-04T04:17:39Z,"TF makan bergizi, makanya mie gacoan?"
@PansilTumpul,2025-10-04T04:11:33Z,Lebih baik beri wang dalam e-wallet
@haringacha24,2025-10-04T04:02:47Z,Ih bang itu yang motong pasti chef loh soalnya bisa setipis itu😂😂😂
@Jujuu_Gamesport,2025-10-04T03:39:45Z,TK=Yeeee Gratis! <br>SD=Makan Beracun Gratis<br>SMP=Makan sayur tak bergizi<br>SMA=Alhamdulillah udah besar<br><br>😂😂😂😂😂😂😂
@boross_chenel,2025-10-04T03:00:36Z,"Sarat manjadi anggota DPR divisi lll, 5000 suara. Jadi jumlah keracunan sudah cukup memilih anggota dpr"
@editcanel,2025-10-04T02:19:28Z,Negeri banyak korup
@YhwvacAizen,2025-10-04T01:56:43Z,Semangka jenis terbesaru 😂
@bank0ngzuma,2025-10-04T01:37:07Z,apasih yang gak korup di indonesia
@dz5878,2025-10-04T01:08:26Z,Lah jam istirahat gua sama jam istirahat kedua disekolah gua <br>Jam istirahat kesatu ada spaghetti seblak burger kebab ama tempe mendoan 😂 <br>Dan setiap jam istirahat kedua itu bukan dari mbg tapi menunya bisa aja kaya nasi goreng 😂 emg agak lain sekolah gua beda dari lain dan itu didirikan sebelum ada mbg berarti mbg gak gagal  cuma semua orang gak bisa makan mbg bukan gak bisa ya tapi kaya keracunan itu harus diliat lagi menunya<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>🙏🏻<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Bahkan nasinya bisa pilih mau banyak apa dikit 🗿🤯
@ilhammalalak,2025-10-04T00:51:39Z,"yang bentuknya ASPAL aja bisa di korupsi, apalagi yang bentuknya MAKANAN😂"
@Fabrianazza,2025-10-03T23:55:51Z,Semangka setipis tissue...
@tsamaraaa09,2025-10-03T14:59:23Z,"disekolah ku ada mbg dan Alhamdulillah gapernah ada masalah sejauh ini, makanan nya pun enak enak semua suka bangettt❤"
@adzanizarkenzi2,2025-10-03T14:45:20Z,bang setiap hari aku dapet enak semua gak ada yang keracunan
@MisbahAlfian,2025-10-03T14:25:18Z,MBG; makan bergizi gratis. X <br>MBG; makan beracun gratis. ✓
@RobertZage,2025-10-03T14:17:52Z,Bubar sjj😂
@farelirwnsyh,2025-10-03T14:07:22Z,Knp namanya ga msg aja (makan siang gratis) dripada mbg katanya bergizi tpi bnyk yg keracunan walau cmn beberapa si
@MikelSoeb,2025-10-03T14:03:45Z,Mbg banyk dikorupending duitnya kasih ke ortu murid masing2 drpd kasih makan manusia laknat yg suka korupsi
@tonyevans237,2025-10-03T13:13:09Z,sbnernya niat pak Prabowo sangat baik demi gizi anak Indonesia tapi pelaksananya yang sembarangan
@Mc_vinz,2025-10-03T13:03:02Z,Mbg:maka beracun gratis
@imanimr1988,2025-10-03T12:53:48Z,Tetangga saya malah melarang anaknya untuk makan MBG .
@ShareenF4-8,2025-10-03T12:51:13Z,makanan bergizi gratis no<br>makanan beracun gratis yes
@farizarfanarfan,2025-10-03T12:46:29Z,Mk:lu tau mbg<br><br>M: makanan<br><br>B:beracun<br><br>G:gratis
@HaziQRezQy,2025-10-03T12:36:34Z,😂😂😂😂😂😂
@HaziQRezQy,2025-10-03T12:35:52Z,Mbg
@HaziQRezQy,2025-10-03T12:35:42Z,Bang gua keracunan
@YusufSamalangi-c6z,2025-10-03T12:31:02Z,Uang di korupsi kali.
